Date, Open, High, Low, Close,,
08/22/17,1.224,1.25,1.216,1.239,,2017/8/22
08/21/17,1.237,1.247,1.211,1.226,,2017/8/21
08/18/17,1.237,1.255,1.218,1.239,,2017/8/18
08/17/17,1.25,1.263,1.224,1.229,,2017/8/17
08/16/17,1.234,1.273,1.232,1.252,,2017/8/16
08/15/17,1.212,1.251,1.212,1.241,,2017/8/15
08/14/17,1.202,1.23,1.199,1.218,,2017/8/14
2008/11/17,1.215,1.225,1.192,1.205,,2017/8/11
2008/10/17,1.218,1.233,1.202,1.22,,2017/8/10
2008/9/17,1.238,1.252,1.202,1.215,,2017/8/9
2008/8/17,1.233,1.241,1.22,1.236,,2017/8/8
2008/7/17,1.236,1.246,1.218,1.236,,2017/8/7
2008/4/17,1.22,1.278,1.208,1.236,,2017/8/4
2008/3/17,1.223,1.309,1.21,1.221,,2017/8/3
2008/2/17,1.223,1.254,1.21,1.228,,2017/8/2
2008/1/17,1.226,1.234,1.216,1.221,,2017/8/1
07/31/17,1.213,1.239,1.208,1.228,,2017/7/31
07/28/17,1.234,1.249,1.205,1.221,,2017/7/28
07/27/17,1.229,1.26,1.216,1.231,,2017/7/27
07/26/17,1.244,1.252,1.224,1.231,,2017/7/26
07/25/17,1.237,1.257,1.226,1.252,,2017/7/25
07/24/17,1.221,1.242,1.208,1.234,,2017/7/24
07/21/17,1.218,1.237,1.206,1.218,,2017/7/21
07/20/17,1.226,1.255,1.213,1.229,,2017/7/20
07/19/17,1.19,1.263,1.19,1.224,,2017/7/19
07/18/17,1.205,1.223,1.192,1.21,,2017/7/18
07/17/17,1.207,1.225,1.189,1.207,,2017/7/17
07/14/17,1.215,1.218,1.184,1.205,,2017/7/14
07/13/17,1.202,1.22,1.192,1.21,,2017/7/13
2007/12/17,1.205,1.218,1.189,1.194,,
2007/11/17,1.215,1.241,1.194,1.202,,
2007/10/17,1.215,1.233,1.2,1.218,,
2007/7/17,1.226,1.244,1.213,1.228,,
2007/6/17,1.234,1.265,1.223,1.234,,
2007/5/17,1.254,1.257,1.228,1.236,,
2007/3/17,1.236,1.262,1.231,1.247,,
06/30/17,1.231,1.247,1.213,1.234,,2017/6/30
06/29/17,1.216,1.236,1.21,1.224,,2017/6/29
06/28/17,1.224,1.231,1.203,1.221,,2017/6/28
06/27/17,1.208,1.226,1.2,1.213,,2017/6/27
06/26/17,1.211,1.229,1.2,1.211,,2017/6/26
06/23/17,1.213,1.234,1.2,1.213,,2017/6/23
06/22/17,1.226,1.232,1.206,1.229,,2017/6/22
06/21/17,1.211,1.258,1.208,1.224,,2017/6/21
06/20/17,1.215,1.241,1.202,1.223,,2017/6/20
06/19/17,1.192,1.225,1.189,1.215,,2017/6/19
06/16/17,1.21,1.215,1.189,1.207,,2017/6/16
06/15/17,1.2,1.215,1.189,1.207,,2017/6/15
06/14/17,1.215,1.223,1.145,1.189,,2017/6/14
06/13/17,1.205,1.22,1.197,1.21,,2017/6/13
2006/12/17,1.197,1.22,1.184,1.208,,
2006/9/17,1.182,1.21,1.171,1.2,,
2006/8/17,1.174,1.195,1.164,1.182,,
2006/7/17,1.161,1.182,1.153,1.171,,
2006/6/17,1.164,1.174,1.143,1.164,,
2006/5/17,1.161,1.177,1.151,1.177,,
2006/2/17,1.161,1.169,1.135,1.161,,
2006/1/17,1.164,1.179,1.156,1.161,,
05/31/17,1.159,1.169,1.148,1.156,,2017/5/31
05/30/17,1.156,1.177,1.146,1.161,,2017/5/30
05/26/17,1.167,1.172,1.151,1.169,,2017/5/26
05/25/17,1.161,1.177,1.149,1.161,,2017/5/25
05/24/17,1.159,1.198,1.154,1.164,,2017/5/24
05/23/17,1.109,1.15,1.096,1.14,,2017/5/23
05/22/17,1.099,1.114,1.085,1.111,,2017/5/22
05/19/17,1.083,1.106,1.075,1.099,,2017/5/19
05/18/17,1.081,1.099,1.07,1.091,,2017/5/18
05/17/17,1.112,1.122,1.062,1.078,,2017/5/17
05/16/17,1.114,1.127,1.091,1.104,,2017/5/16
05/15/17,1.112,1.127,1.101,1.117,,2017/5/15
2005/12/17,1.13,1.143,1.099,1.112,,
2005/11/17,1.127,1.148,1.117,1.125,,
2005/10/17,1.13,1.143,1.109,1.122,,
2005/9/17,1.122,1.143,1.109,1.125,,
2005/8/17,1.104,1.133,1.094,1.127,,
2005/5/17,1.107,1.122,1.089,1.101,,
2005/4/17,1.094,1.122,1.083,1.112,,
2005/3/17,1.076,1.107,1.068,1.099,,
2005/2/17,1.084,1.097,1.065,1.078,,
2005/1/17,1.073,1.099,1.06,1.086,,
04/28/17,1.065,1.086,1.06,1.076,,2017/4/28
04/27/17,1.079,1.081,1.055,1.068,,2017/4/27
04/26/17,1.063,1.097,1.058,1.068,,2017/4/26
04/25/17,1.018,1.044,1.013,1.036,,2017/4/25
04/24/17,0.985,1.039,0.985,1.016,,2017/4/24
04/21/17,0.995,1.008,0.969,0.977,,2017/4/21
04/20/17,1.006,1.029,0.988,0.995,,2017/4/20
04/19/17,1.006,1.031,0.998,1.016,,2017/4/19
04/18/17,1.029,1.034,1.003,1.016,,2017/4/18
04/17/17,1.021,1.037,1.018,1.029,,2017/4/17
04/13/17,1.034,1.039,1.008,1.024,,2017/4/13
2004/12/17,1.052,1.058,1.019,1.021,,
2004/11/17,1.06,1.07,1.032,1.047,,
2004/10/17,1.065,1.078,1.055,1.068,,
2004/7/17,1.037,1.081,1.021,1.063,,
2004/6/17,1.024,1.052,1.019,1.032,,
2004/5/17,1.029,1.04,1.014,1.027,,
2004/4/17,1.016,1.042,1.003,1.032,,
2004/3/17,1.027,1.04,1.009,1.019,,
03/31/17,1.034,1.045,1.019,1.024,,2017/3/31
03/30/17,1.045,1.053,1.024,1.037,,2017/3/30
03/29/17,1.018,1.066,0.985,1.053,,2017/3/29
03/28/17,0.985,1.035,0.972,1.035,,2017/3/28
03/27/17,0.977,0.995,0.964,0.99,,2017/3/27
03/24/17,0.972,0.987,0.962,0.987,,2017/3/24
03/23/17,0.977,0.99,0.962,0.967,,2017/3/23
03/22/17,0.985,0.993,0.962,0.975,,2017/3/22
03/21/17,1.003,1.003,0.977,0.982,,2017/3/21
03/20/17,0.99,1.008,0.98,0.993,,2017/3/20
03/17/17,0.995,1.013,0.99,0.998,,2017/3/17
03/16/17,1.019,1.039,0.99,0.998,,2017/3/16
03/15/17,1.052,1.07,1.008,1.011,,2017/3/15
03/14/17,1.058,1.07,1.039,1.055,,2017/3/14
03/13/17,1.042,1.071,1.029,1.068,,2017/3/13
2003/10/17,1.039,1.05,1.026,1.034,,
2003/9/17,1.019,1.045,1.019,1.045,,
2003/8/17,1.006,1.034,0.993,1.032,,
2003/7/17,0.98,1.009,0.97,1.006,,
2003/6/17,0.967,0.996,0.96,0.978,,
2003/3/17,0.978,0.991,0.949,0.978,,
2003/2/17,0.926,0.996,0.913,0.973,,
2003/1/17,0.892,0.936,0.887,0.929,,
02/28/17,0.781,0.843,0.773,0.828,,2017/2/28
02/27/17,0.776,0.802,0.771,0.784,,2017/2/27
02/24/17,0.789,0.799,0.771,0.779,,2017/2/24
02/23/17,0.802,0.815,0.781,0.792,,2017/2/23
02/22/17,0.807,0.82,0.784,0.799,,2017/2/22
02/21/17,0.802,0.828,0.792,0.804,,2017/2/21
02/17/17,0.807,0.817,0.794,0.804,,2017/2/17
02/16/17,0.833,0.843,0.787,0.797,,2017/2/16
02/15/17,0.838,0.848,0.823,0.838,,2017/2/15
02/14/17,0.81,0.861,0.799,0.828,,2017/2/14
02/13/17,0.805,0.825,0.794,0.799,,2017/2/13
2002/10/17,0.797,0.81,0.787,0.805,,
2002/9/17,0.789,0.807,0.771,0.805,,
2002/8/17,0.797,0.8,0.769,0.787,,
2002/7/17,0.797,0.807,0.782,0.789,,
2002/6/17,0.815,0.82,0.782,0.792,,
2002/3/17,0.823,0.833,0.797,0.813,,
2002/2/17,0.833,0.841,0.813,0.831,,
2002/1/17,0.838,0.877,0.826,0.831,,
01/31/17,0.784,0.794,0.755,0.763,,2017/1/31
01/30/17,0.799,0.804,0.771,0.781,,2017/1/30
01/27/17,0.794,0.807,0.784,0.789,,2017/1/27
01/26/17,0.797,0.815,0.786,0.786,,2017/1/26
01/25/17,0.786,0.812,0.781,0.799,,2017/1/25
01/24/17,0.774,0.804,0.738,0.797,,2017/1/24
01/23/17,0.802,0.812,0.761,0.771,,2017/1/23
01/20/17,0.81,0.83,0.786,0.794,,2017/1/20
01/19/17,0.805,0.825,0.797,0.807,,2017/1/19
01/18/17,0.797,0.818,0.774,0.81,,2017/1/18
01/17/17,0.799,0.81,0.776,0.787,,2017/1/17
01/15/17,0.802,0.802,0.802,0.807,,2017/1/15
01/13/17,0.807,0.825,0.794,0.802,,2017/1/13
2001/12/17,0.81,0.823,0.781,0.807,,
2001/11/17,0.815,0.828,0.797,0.812,,
2001/10/17,0.81,0.828,0.792,0.813,,
2001/9/17,0.841,0.851,0.8,0.815,,
2001/6/17,0.831,0.859,0.823,0.849,,
