Date,FNMA Fixed 30 Year 2.0% Gross Issuance,FNMA Fixed 30 Year 2.5% Gross Issuance,FNMA Fixed 30 Year 3.0% Gross Issuance,FNMA Fixed 30 Year 3.5% Gross Issuance,FNMA Fixed 30 Year 4.0% Gross Issuance,FNMA Fixed 30 Year 4.5% Gross Issuance,FNMA Fixed 30 Year 5.0% Gross Issuance,FNMA Fixed 30 Year 5.5% Gross Issuance,FNMA Fixed 30 Year 6.0% Gross Issuance,FNMA Fixed 30 Year 6.5% Gross Issuance,FNMA Fixed 30 Year 7.0% Gross Issuance,FNMA Fixed 30 Year 7.5% Gross Issuance,FNMA Fixed 30 Year 8.0% Gross Issuance,FNMA Fixed 30 Year 8.5% Gross Issuance,FNMA Fixed 30 Year 9.0% Gross Issuance
31-Jul-02,N/A,N/A,0,0,0,1.1741,8.4902,107.7425,5067.8094,17373.6379,2795.2402,616.4185,165.1371,35.1881,9.9125
30-Aug-02,N/A,N/A,0,0.8514,0,0,18.1763,593.0991,15472.1435,13282.9243,2203.4081,763.5873,306.8991,59.3405,11.8367
30-Sep-02,N/A,N/A,0,0,0,1.2342,75.2256,4713.2411,25516.5183,6373.0789,1171.727,353.9793,160.4535,12.675,2.4631
31-Oct-02,N/A,N/A,0,0,0,2.2276,159.7902,11966.9975,28486.7656,9146.1959,1210.1325,332.0162,153.2407,3.9994,0
29-Nov-02,N/A,N/A,0,0,0,2.362,365.9704,24149.3928,22040.7399,2160.4598,587.9082,329.477,84.4263,6.4764,1.8141
31-Dec-02,N/A,N/A,0,0,1.4743,14.9921,608.5806,31460.0012,17399.6742,2135.9243,861.4703,268.695,98.5957,17.2291,6.4409
31-Jan-03,N/A,N/A,0,0,0,8.7426,1083.6783,41292.8941,16430.5439,1417.1172,644.4619,119.5233,56.9958,4.2926,1.0236
28-Feb-03,N/A,N/A,0,0,0,9.1437,1292.6809,32732.7665,14889.3418,1320.4991,507.3708,243.3061,180.1128,30.3426,11.2589
31-Mar-03,N/A,N/A,0,0,0,19.2002,2062.7832,36389.0756,9959.807,974.0899,368.3098,86.2193,69.9102,25.5002,21.8915
30-Apr-03,N/A,N/A,0,0,0,74.2546,7900.4261,45130.4831,11489.6206,1056.0688,502.6288,86.7352,44.2671,21.2866,14.007
30-May-03,N/A,N/A,0,0,1.1542,94.0509,15563.0817,38082.1701,5818.3138,555.1034,302.6793,63.823,45.6221,3.4081,4.7774
30-Jun-03,N/A,N/A,0,0,4.8,1291.2534,29252.0259,32564.5951,3526.723,475.0907,287.4576,74.459,45.8445,23.9769,17.6109
31-Jul-03,N/A,N/A,0,0.1998,56.6584,4246.3776,37056.0719,23828.2417,2308.2625,262.1198,151.5255,54.5044,6.3696,6.0168,1.5306
29-Aug-03,N/A,N/A,0,0.5107,145.6566,11352.8194,37816.2028,12475.0194,2434.2823,564.981,262.6301,72.9807,68.2201,43.8756,14.3325
30-Sep-03,N/A,N/A,0,0,173.8502,9777.4687,35751.579,14193.1183,5641.5004,1266.2106,577.9351,93.3258,29.5154,15.2034,12.4862
31-Oct-03,N/A,N/A,0,0,50.9311,3459.7347,17540.8105,13746.4136,7701.3803,1499.8629,484.3751,97.5876,62.4681,4.744,3.4487
28-Nov-03,N/A,N/A,0,0,19.136,1460.0803,9989.7149,15519.2769,7619.7331,1158.167,413.6228,117.0905,53.5832,17.1077,1.3872
31-Dec-03,N/A,N/A,0,0.2774,37.5344,594.6561,7815.8633,18463.1185,6004.4755,1169.859,377.9894,103.2669,92.9608,32.0837,10.2912
30-Jan-04,N/A,N/A,0,0,15.0832,259.0968,4703.5994,15142.4426,5865.77,1083.2741,622.6982,111.3332,61.8302,3.7201,0.689
27-Feb-04,N/A,N/A,0,0,11.0322,317.9496,7259.1821,14054.141,3790.057,773.2643,241.8025,75.9065,37.6716,13.2561,7.3166
31-Mar-04,N/A,N/A,0,0,1.0325,147.3467,11141.7486,10147.5568,2598.879,516.3818,280.1401,130.3836,63.1559,23.1559,9.2849
30-Apr-04,N/A,N/A,0,0,23.0764,647.1636,16805.3424,12349.506,2309.9032,369.8231,130.7035,20.3061,7.1369,0,0
28-May-04,N/A,N/A,0,0,3.7231,1672.7722,16108.848,9459.863,1808.9238,371.8509,100.6094,15.6103,6.8161,0,2.3785
30-Jun-04,N/A,N/A,0,0,1.7788,1079.9966,10751.7025,10684.6528,5364.2268,1093.3923,404.1723,99.4667,26.6745,17.3521,10.4249
30-Jul-04,N/A,N/A,0,0,0,231.3836,2658.4937,7718.273,9928.3743,2109.0431,303.4934,98.8085,22.7737,1.8632,1.3721
31-Aug-04,N/A,N/A,0,0,1.1414,46.546,963.3455,5786.1162,11042.1544,1996.8621,240.6437,59.7943,9.4664,0.8105,0
30-Sep-04,N/A,N/A,0,0,1.925,43.7655,1315.7914,10778.6735,9576.1071,1201.8382,229.4573,63.6889,16.5205,6.1104,3.2986
29-Oct-04,N/A,N/A,0,0,1.0868,67.1387,2280.3762,11374.1943,4723.2059,836.4348,187.5387,55.7819,18.1087,0,0
30-Nov-04,N/A,N/A,0,0,0,272.5449,4548.2589,12289.5861,2683.7344,619.9743,119.8634,34.3879,30.6028,5.476,16.3601
31-Dec-04,N/A,N/A,0,0,1.3356,536.9508,6010.7017,12216.8873,2379.4808,523.453,111.2174,17.2117,5.4482,0,0
31-Jan-05,N/A,N/A,0,0,13.5235,352.0678,6251.9397,12766.9603,2132.8734,391.1151,84.1696,18.1002,3.3921,1.4985,0
28-Feb-05,N/A,N/A,0,0,0,1326.1861,5889.7308,9642.4496,1650.5087,365.6268,95.6375,40.9299,10.2084,2.8648,0.8908
31-Mar-05,N/A,N/A,0,0,31.5967,1601.8834,6680.9776,9511.7917,1520.8097,370.2152,108.7993,38.7119,6.3325,1.999,0.5825
29-Apr-05,N/A,N/A,0,0,1.3196,485.4055,11063.6902,9172.0329,2087.4216,330.5219,171.5645,43.6193,18.8559,7.1078,2.9048
31-May-05,N/A,N/A,0,0,2.6182,336.8541,10357.0219,8876.2242,3095.7341,366.9762,141.9637,36.6635,4.7656,15.3912,1.1182
30-Jun-05,N/A,N/A,0,0,4.558,196.8667,11703.1432,8233.7634,3305.0383,380.3417,201.5707,50.0193,10.9635,2.4634,0
29-Jul-05,N/A,N/A,0,0,0,502.5794,17862.4802,8857.2044,2617.0867,232.1909,180.9801,68.3494,7.5756,3.0172,0.5629
31-Aug-05,N/A,N/A,1.6259,1.8571,3.7898,1797.8544,16820.7705,11194.2614,3332.7419,295.4224,205.9463,68.2348,17.1674,1.6084,5.537
30-Sep-05,N/A,N/A,0,0,1.2051,3174.2799,17312.0169,12078.6252,3266.7909,530.4403,248.3376,52.5842,15.2119,0.7469,0
31-Oct-05,N/A,N/A,0,0,19.7484,1339.7168,10479.5176,13124.063,3541.2959,622.2754,313.3927,23.6048,11.2532,3.2137,0
30-Nov-05,N/A,N/A,0,0,4.8361,293.7183,9463.0069,13286.8442,4549.1589,1011.5782,423.8077,31.5691,16.9603,5.0356,2.5162
30-Dec-05,N/A,N/A,0,0,4.9921,258.0952,7577.2028,11142.2282,5696.4771,1174.7246,560.866,21.9249,5.2028,1.4994,2.373
31-Jan-06,N/A,N/A,0,0,0,64.5875,4199.1569,10707.1464,8126.9586,1826.4269,756.1783,29.1929,27.9221,2.2122,3.2689
28-Feb-06,N/A,N/A,0,0,16.4934,35.1164,1965.6423,7915.8464,9273.6334,2213.342,530.9852,71.2989,20.8131,2.486,0
31-Mar-06,N/A,N/A,0,0,1.5914,24.3804,2833.9213,7481.6591,9648.2123,2615.291,238.0809,51.8304,14.0104,1.1242,16.6517
28-Apr-06,N/A,N/A,0,0,0,32.4477,2321.3905,10631.111,10818.1851,3816.8295,242.7754,97.9558,6.7282,0,0
31-May-06,N/A,N/A,0,5.9209,3.1718,17.8464,1056.4804,6534.3418,12645.2493,5103.0925,423.3997,70.7574,21.7616,0,0
30-Jun-06,N/A,N/A,0,0,0,39.1178,1155.0302,3634.1691,15759.899,6420.5709,902.3814,79.0446,38.73,0,0
31-Jul-06,N/A,N/A,0,0,0,17.4897,240.7339,1807.4578,12512.5115,8248.3361,1946.6149,73.609,34.311,0,0
31-Aug-06,N/A,N/A,0,0,0,8.467,359.0362,1803.9979,13787.7101,9316.5943,1526.0728,127.5227,68.1831,0,0
29-Sep-06,N/A,N/A,0,0,2.6904,4.3642,438.5407,2328.3955,15807.3041,7239.452,1401.981,131.2702,31.7737,0,0
31-Oct-06,N/A,N/A,0,0,1.9751,48.152,593.109,6016.0937,18043.3082,6320.5323,1232.9659,162.8875,59.12,9.1773,0
30-Nov-06,N/A,N/A,0,0,1.5368,14.4914,1056.6591,8386.671,12344.4758,3928.0057,942.7874,100.5108,44.3607,13.4962,0
29-Dec-06,N/A,N/A,0,0,1.983,56.5335,1806.8085,12190.91,10263.4246,3035.8711,796.1138,118.641,22.044,17.8505,0.3113
31-Jan-07,N/A,N/A,0,0,0,108.2053,4011.2881,13152.8278,9330.3107,2151.8061,483.1799,105.1488,13.4312,3.9501,0
28-Feb-07,N/A,N/A,0,0,0,32.0785,2688.7301,14654.4334,9198.6932,2444.3426,447.992,87.7202,18.5269,0,0
30-Mar-07,N/A,N/A,0,0,0,41.0303,3263.0418,15768.1998,8043.6786,1763.8411,663.8576,83.7436,24.3833,1.5911,1.3161
30-Apr-07,N/A,N/A,0,0,0,63.4781,3309.5492,14377.2078,9619.4441,2187.9587,902.0529,168.9743,20.7703,2.0017,0.474
31-May-07,N/A,N/A,0,16.7005,183.7912,322.5755,3452.4623,20377.9702,9760.8138,2073.9944,1043.597,148.7521,8.245,8.9971,0.4692
29-Jun-07,N/A,N/A,0,0.417,1.9882,214.1742,2038.8772,16716.9216,14098.5284,3388.2828,1455.5456,173.3084,24.9267,0,0
31-Jul-07,N/A,N/A,0,1.9942,3.8846,70.675,925.7419,12771.2139,18231.2273,5756.704,2413.6921,282.8273,41.4145,5.9581,0
31-Aug-07,N/A,N/A,0,3.1121,0,25.1202,405.7216,6150.7312,20414.1588,6416.0059,3225.4922,404.6496,94.5846,17.4321,0
28-Sep-07,N/A,N/A,0,2.9334,0,14.8408,192.994,3778.4536,23349.7688,8766.4682,2456.9057,472.4582,127.264,26.4587,1.1942
31-Oct-07,N/A,N/A,0,4.3351,0,29.8563,215.493,4306.7276,20491.1031,7586.0607,2889.6363,652.6155,181.2112,33.4737,2.8737
30-Nov-07,N/A,N/A,0,1.9509,0,24.8712,356.1996,9648.5072,24078.8437,4509.8515,1890.113,519.6181,176.7169,22.9389,1.4772
31-Dec-07,N/A,N/A,0,2.1307,0,130.5307,1465.4071,21021.3391,17916.7327,4498.5306,1463.6451,533.7345,119.2771,11.3438,4.2536
31-Jan-08,N/A,N/A,0,4.2814,0,180.8758,4018.608,17784.5496,12542.9792,3182.9928,1080.5926,253.6394,38.5502,2.146,0
29-Feb-08,N/A,N/A,0,6.4812,12.0554,1247.0009,13503.2498,24839.9582,10843.2558,2808.2157,1456.3163,243.1752,24.3768,0,1.3124
31-Mar-08,N/A,N/A,0,3.9707,2.663,2021.7191,14011.5927,12481.5186,4127.8969,1378.2468,576.4,128.967,9.9979,0,0
30-Apr-08,N/A,N/A,0,1.896,5.0491,2324.1434,17450.3967,12045.2712,4617.8994,1411.147,454.7083,64.4691,0,0,0
30-May-08,N/A,N/A,0,4.5316,21.8241,946.0828,13684.5639,19248.352,7420.2651,1811.4957,702.8834,68.1815,1.2267,0,0
30-Jun-08,N/A,N/A,0,2.7951,5.7074,247.9942,6542.3302,23134.3981,6130.5343,1071.5624,428.9,22.5599,4.0992,0,0
31-Jul-08,N/A,N/A,0,1.4041,0,159.0419,2836.7697,13813.8554,6849.4166,1794.1279,401.3025,23.1642,0,0,0
29-Aug-08,N/A,N/A,0,2.005,0,101.0896,821.0845,6916.9644,9792.8192,2731.0314,845.1792,24.6895,1.4809,1.0795,1.8337
