date,coupon,price
19960102,5.5,89.13
19960102,6,96.5625
19960102,6.5,98.74265625
19960102,7,100.7314063
19960102,7.5,102.3623438
19960102,8,103.4696875
19960102,8.5,104.28125
19960102,9,105.2196875
19960102,9.5,106.47
19960103,5.5,89.38
19960103,6,96.81263393
19960103,6.5,98.9278125
19960103,7,100.8970536
19960103,7.5,102.4652679
19960103,8,103.5385714
19960103,8.5,104.3658036
19960103,9,105.3468304
19960103,9.5,106.5278571
19960104,5.5,89.25
19960104,6,96.65002232
19960104,6.5,98.76064732
19960104,7,100.7175893
19960104,7.5,102.3153795
19960104,8,103.4240179
19960104,8.5,104.3153795
19960104,9,105.3277009
19960104,9.5,106.5232143
19960105,5.5,89
19960105,6,96.40339286
19960105,6.5,98.51339286
19960105,7,100.4391071
19960105,7.5,102.0307143
19960105,8,103.1885714
19960105,8.5,104.1835714
19960105,9,105.1964286
19960105,9.5,106.5185714
19960108,5.5,89
19960108,6,96.38075893
19960108,6.5,98.48888393
19960108,7,100.413125
19960108,7.5,102.0044643
19960108,8,103.1625223
19960108,8.5,104.1608036
19960108,9,105.1897321
19960108,9.5,106.5046429
19960109,5.5,89.06
19960109,6,96.4075
19960109,6.5,98.515
19960109,7,100.43875
19960109,7.5,102.045625
19960109,8,103.20375
19960109,8.5,104.21875
19960109,9,105.23375
19960109,9.5,106.56
19960110,5.5,88.63
19960110,6,95.95191964
19960110,6.5,98.09410714
19960110,7,100.0884598
19960110,7.5,101.8067411
19960110,8,103.0427902
19960110,8.5,104.0745089
19960110,9,105.1413616
19960110,9.5,106.5568966
19960111,5.5,88.78
19960111,6,96.13829741
19960111,6.5,98.24321121
19960111,7,100.2389655
19960111,7.5,101.9583836
19960111,8,103.2083836
19960111,8.5,104.2104526
19960111,9,105.274375
19960111,9.5,106.5537931
19960112,5.5,93
19960112,6,96.39810345
19960112,6.5,98.48905172
19960112,7,100.4725
19960112,7.5,102.2058836
19960112,8,103.426875
19960112,8.5,104.3949353
19960112,9,105.4309698
19960112,9.5,106.6196552
19960116,5.5,93
19960116,6,96.72420259
19960116,6.5,98.75530172
19960116,7,100.719375
19960116,7.5,102.4034052
19960116,8,103.6224569
19960116,8.5,104.5401724
19960116,9,105.4815948
19960116,9.5,106.6982759
19960117,5.5,93.25
19960117,6,97.06375
19960117,6.5,99.03267241
19960117,7,100.9705172
19960117,7.5,102.5635776
19960117,8,103.7205172
19960117,8.5,104.5721983
19960117,9,105.5100431
19960117,9.5,106.7251724
19960118,5.5,93.34
19960118,6,97.12676724
19960118,6.5,99.09571121
19960118,7,101.0553448
19960118,7.5,102.6172629
19960118,8,103.7478879
19960118,8.5,104.5959052
19960118,9,105.5384483
19960118,9.5,106.722069
19960119,5.5,93.44
19960119,6,97.1612069
19960119,6.5,99.14913793
19960119,7,101.1077586
19960119,7.5,102.6385776
19960119,8,103.7698276
19960119,8.5,104.5818966
19960119,9,105.525
19960119,9.5,106.9055172
19960122,5.5,93.44
19960122,6,96.61338362
19960122,6.5,98.69508621
19960122,7,100.6950862
19960122,7.5,102.3052371
19960122,8,103.5070259
19960122,8.5,104.4208405
19960122,9,105.4100431
19960122,9.5,106.9131034
19960123,5.5,93.28
19960123,6,96.40068966
19960123,6.5,98.50275862
19960123,7,100.5574138
19960123,7.5,102.1664224
19960123,8,103.3765517
19960123,8.5,104.3218966
19960123,9,105.3697414
19960123,9.5,106.9110345
19960124,5.5,93.44
19960124,6,96.60678879
19960124,6.5,98.68663793
19960124,7,100.7175647
19960124,7.5,102.3022629
19960124,8,103.4753233
19960124,8.5,104.3721983
19960124,9,105.4212284
19960124,9.5,106.9089655
19960125,5.5,92.94
19960125,6,96.18461207
19960125,6.5,98.31431034
19960125,7,100.39875
19960125,7.5,102.1009483
19960125,8,103.3143103
19960125,8.5,104.2215948
19960125,9,105.2999569
19960125,9.5,106.9068966
19960126,5.5,92.94
19960126,6,96.41489224
19960126,6.5,98.51204741
19960126,7,100.5738147
19960126,7.5,102.2440948
19960126,8,103.4281897
19960126,8.5,104.3017241
19960126,9,105.3414009
19960126,9.5,106.9048276
19960129,5.5,92.81
19960129,6,96.25818966
19960129,6.5,98.35043103
19960129,7,100.4155172
19960129,7.5,102.0997845
19960129,8,103.2887931
19960129,8.5,104.1963362
19960129,9,105.2890086
19960129,9.5,107.0186207
19960130,5.5,93.06
19960130,6,96.54534483
19960130,6.5,98.626875
19960130,7,100.6612931
19960130,7.5,102.2931034
19960130,8,103.4420905
19960130,8.5,104.3152802
19960130,9,105.4022198
19960130,9.5,107.0793103
19960131,5.5,93.31
19960131,6,96.77969828
19960131,6.5,98.89189655
19960131,7,100.8492672
19960131,7.5,102.4340086
19960131,8,103.5609483
19960131,8.5,104.3918966
19960131,9,105.48
19960131,9.5,107.1068966
19960201,5.5,93.31
19960201,6,96.75650862
19960201,6.5,98.868125
19960201,7,100.8249784
19960201,7.5,102.4093103
19960201,8,103.5377586
19960201,8.5,104.3869828
19960201,9,105.47625
19960201,9.5,107.1044828
19960202,5.5,93.5
19960202,6,96.54586207
19960202,6.5,98.71008621
19960202,7,100.6971552
19960202,7.5,102.3691379
19960202,8,103.5215517
19960202,8.5,104.382069
19960202,9,105.4849138
19960202,9.5,107.102069
19960205,5.5,93.31
19960205,6,96.35196121
19960205,6.5,98.53928879
19960205,7,100.541444
19960205,7.5,102.2301078
19960205,8,103.3999138
19960205,8.5,104.3032543
19960205,9,105.4445474
19960205,9.5,107.0948276
19960206,5.5,93.34
19960206,6,96.39560345
19960206,6.5,98.59625
19960206,7,100.5973276
19960206,7.5,102.2860345
19960206,8,103.4575
19960206,8.5,104.3655603
19960206,9,105.5171121
19960206,9.5,107.132069
19960207,5.5,93.34
19960207,6,96.423125
19960207,6.5,98.658125
19960207,7,100.658125
19960207,7.5,102.341875
19960207,8,103.484375
19960207,8.5,104.3925
19960207,9,105.514375
19960207,9.5,107.13
19960208,5.5,93.41
19960208,6,96.48181034
19960208,6.5,98.7162931
19960208,7,100.7149138
19960208,7.5,102.4037069
19960208,8,103.5264655
19960208,8.5,104.4037069
19960208,9,105.5289655
19960208,9.5,107.3775862
19960209,5.5,93.41
19960209,6,96.58463362
19960209,6.5,98.80508621
19960209,7,100.8185991
19960209,7.5,102.4913793
19960209,8,103.6153017
19960209,8.5,104.5228017
19960209,9,105.6514009
19960209,9.5,107.4358621
19960212,5.5,93.41
19960212,6,96.88448276
