"Date","2 year note Current Mid Yield","2 year note Current Modified Duration","2 year note Current Realized Return"
22-Sep-97,5.75907,1.79585,4.7335
23-Sep-97,5.80032,1.86362,-4.56598
24-Sep-97,5.76677,1.86395,6.25586
25-Sep-97,5.8297,1.86333,-11.72241
26-Sep-97,5.78354,1.86379,8.60653
29-Sep-97,5.77935,1.86383,0.78174
30-Sep-97,5.79597,1.86096,-1.51118
01-Oct-97,5.73697,1.85885,12.56061
02-Oct-97,5.72413,1.85627,3.95595
03-Oct-97,5.68965,1.84851,11.08234
06-Oct-97,5.65981,1.8461,7.06802
07-Oct-97,5.64259,1.84357,4.72587
08-Oct-97,5.76507,1.83967,-20.97099
09-Oct-97,5.78612,1.83676,-2.28846
10-Oct-97,5.83251,1.82551,-2.13133
14-Oct-97,5.78535,1.82327,10.19958
15-Oct-97,5.81519,1.82028,-3.84617
16-Oct-97,5.81508,1.81759,1.61263
17-Oct-97,5.88373,1.80883,-7.64053
20-Oct-97,5.87507,1.80621,3.1747
21-Oct-97,5.88802,1.80339,-0.72726
22-Oct-97,5.88368,1.80073,2.39367
23-Oct-97,5.77105,1.79911,21.89374
24-Oct-97,5.76188,1.7911,6.38426
27-Oct-97,5.59679,1.78998,31.16371
28-Oct-97,5.72555,1.86592,-18.55632
29-Oct-97,5.65849,1.86658,12.52348
30-Oct-97,5.60826,1.86708,9.38086
31-Oct-97,5.60352,1.85902,5.4925
03-Nov-97,5.67908,1.85557,-12.48035
04-Nov-97,5.71274,1.85254,-4.68049
05-Nov-97,5.70848,1.84988,2.35437
06-Nov-97,5.68305,1.84743,6.26229
07-Nov-97,5.69131,1.83925,3.15093
10-Nov-97,5.71248,1.83364,-0.7634
12-Nov-97,5.69113,1.83115,5.4757
13-Nov-97,5.674,1.82861,4.6921
14-Nov-97,5.66947,1.82055,5.48758
17-Nov-97,5.67797,1.81777,0.00881
18-Nov-97,5.69078,1.81494,-0.77089
19-Nov-97,5.67783,1.81237,3.90778
20-Nov-97,5.71653,1.80929,-5.44744
21-Nov-97,5.66459,1.80169,14.06469
24-Nov-97,5.6962,1.86621,-7.0001
25-Nov-97,5.70878,1.86608,-2.34687
26-Nov-97,5.72975,1.86587,-3.91236
28-Nov-97,5.75069,1.86297,-2.33103
01-Dec-97,5.75906,1.86018,0.01736
02-Dec-97,5.76746,1.8574,0.01741
03-Dec-97,5.73368,1.85503,7.8466
04-Dec-97,5.69985,1.85267,7.84027
05-Dec-97,5.77161,1.84386,-8.546
08-Dec-97,5.82686,1.84062,-8.5877
09-Dec-97,5.79712,1.83821,7.06443
10-Dec-97,5.72902,1.83618,14.10085
