"Date","30 year bond Current Mid Yield","30 year bond Current Modified Duration","30 year bond Current Realized Return"
22-Sep-97,6.34857,13.22319,34.31359
23-Sep-97,6.38378,13.1848,-44.68714
24-Sep-97,6.32288,13.24405,82.51371
25-Sep-97,6.3991,13.16399,-98.45401
26-Sep-97,6.36608,13.18959,48.75227
29-Sep-97,6.38018,13.17265,-16.86772
30-Sep-97,6.40971,13.14008,-37.06377
01-Oct-97,6.32425,13.22421,115.00692
02-Oct-97,6.30536,13.24081,26.72226
03-Oct-97,6.30968,13.22851,-0.65084
06-Oct-97,6.2649,13.27153,61.19959
07-Oct-97,6.24166,13.29264,32.59496
08-Oct-97,6.36481,13.16455,-159.93214
09-Oct-97,6.37538,13.15118,-12.19869
10-Oct-97,6.43486,13.08039,-70.90946
14-Oct-97,6.36124,13.15237,98.76229
15-Oct-97,6.39066,13.11988,-36.87709
16-Oct-97,6.39036,13.11756,2.10496
17-Oct-97,6.4402,13.0592,-59.90292
20-Oct-97,6.42025,13.07674,27.82845
21-Oct-97,6.41906,13.07532,3.27677
22-Oct-97,6.41075,13.0811,12.59624
23-Oct-97,6.32493,13.16557,114.97742
24-Oct-97,6.29471,13.18843,44.98136
27-Oct-97,6.24174,13.23985,71.93337
28-Oct-97,6.28776,13.19025,-58.96156
29-Oct-97,6.22344,13.25329,87.09375
30-Oct-97,6.16898,13.30642,74.24669
31-Oct-97,6.1487,13.31932,32.00496
03-Nov-97,6.20291,13.26112,-70.14725
04-Nov-97,6.24397,13.21648,-52.56453
05-Nov-97,6.24483,13.21298,0.54324
06-Nov-97,6.15427,13.62405,72.47725
07-Nov-97,6.14909,13.62942,7.05938
10-Nov-97,6.15024,13.62823,-1.56764
12-Nov-97,6.12729,13.65205,31.35779
13-Nov-97,6.10901,13.67104,25.00782
14-Nov-97,6.08849,13.68702,31.4402
17-Nov-97,6.07259,13.70088,23.44185
18-Nov-97,6.07258,13.69822,1.67907
19-Nov-97,6.0275,13.74251,63.6911
20-Nov-97,6.04996,13.71642,-29.14176
21-Nov-97,6.03528,13.72368,25.1041
24-Nov-97,6.07926,13.67517,-58.43522
25-Nov-97,6.06114,13.69136,26.48167
26-Nov-97,6.05433,13.69309,12.62501
28-Nov-97,6.04077,13.69918,23.54607
01-Dec-97,6.03541,13.70209,8.98564
02-Dec-97,6.03399,13.70089,3.5906
03-Dec-97,6.02052,13.71226,20.12907
04-Dec-97,6.03845,13.69087,-22.90512
05-Dec-97,6.07876,13.64084,-50.02015
08-Dec-97,6.14067,13.57383,-82.23642
09-Dec-97,6.13147,13.5807,14.16545
10-Dec-97,6.09519,13.61571,51.13301
11-Dec-97,6.02038,13.69095,104.32889
12-Dec-97,5.93597,13.77116,121.52389
15-Dec-97,5.97018,13.73267,-45.32564
16-Dec-97,5.95799,13.74274,18.38939
17-Dec-97,5.99014,13.70644,-42.41015
18-Dec-97,5.9403,13.75589,70.30471
19-Dec-97,5.90732,13.78241,50.37045
22-Dec-97,5.89202,13.79579,22.73549
23-Dec-97,5.89527,13.78969,-2.88327
24-Dec-97,5.90507,13.77404,-10.28135
26-Dec-97,5.90392,13.76719,6.39814
29-Dec-97,5.92143,13.74615,-22.44984
30-Dec-97,5.9755,13.68687,-72.27614
31-Dec-97,5.92688,13.7324,70.14139
02-Jan-98,5.84946,13.80561,112.02303
05-Jan-98,5.73521,13.92338,161.26413
06-Jan-98,5.72255,13.93408,19.21039
07-Jan-98,5.79461,13.85531,-98.07017
08-Jan-98,5.74994,13.89976,63.76531
09-Jan-98,5.70565,13.93853,66.54641
12-Jan-98,5.69935,13.94252,10.34781
13-Jan-98,5.70771,13.93098,-10.09521
14-Jan-98,5.73504,13.8994,-36.40209
15-Jan-98,5.74347,13.8878,-10.14233
16-Jan-98,5.80297,13.81429,-75.83658
20-Jan-98,5.82657,13.78675,-30.93577
21-Jan-98,5.80294,13.80895,34.24478
22-Jan-98,5.85027,13.75645,-63.45275
23-Jan-98,5.97076,13.62208,-158.83925
26-Jan-98,5.89369,13.70011,107.47389
27-Jan-98,5.94418,13.64452,-67.19042
28-Jan-98,5.93535,13.65108,13.67875
29-Jan-98,5.83938,13.74911,133.97501
30-Jan-98,5.80921,13.77281,46.37464
02-Feb-98,5.86531,13.71112,-75.21497
03-Feb-98,5.86313,13.71073,4.58854
04-Feb-98,5.86638,13.70464,-2.85214
05-Feb-98,5.91988,13.64582,-71.30742
06-Feb-98,5.91327,13.6447,13.86209
09-Feb-98,5.94408,13.60975,-40.2883
10-Feb-98,5.92644,13.62554,25.67228
11-Feb-98,5.85004,13.70301,106.55037
12-Feb-98,5.875,13.67411,-32.50653
13-Feb-98,5.84892,13.69078,42.15708
17-Feb-98,5.80045,13.73908,68.28316
18-Feb-98,5.83917,13.69566,-51.38746
19-Feb-98,5.84781,13.68389,-10.2325
20-Feb-98,5.86513,13.65763,-18.88243
23-Feb-98,5.90659,13.61146,-54.77085
24-Feb-98,5.96837,13.54412,-81.92465
25-Feb-98,5.92195,13.59,64.80135
26-Feb-98,5.94399,13.56424,-28.27023
27-Feb-98,5.92303,13.57813,33.34316
02-Mar-98,6.02534,13.46856,-135.80124
03-Mar-98,6.06146,13.42827,-46.81611
04-Mar-98,6.04675,13.44089,21.42523
05-Mar-98,6.0694,13.41465,-28.71838
06-Mar-98,6.02422,13.45364,65.84548
09-Mar-98,5.96945,13.50811,75.75175
10-Mar-98,5.9639,13.51123,9.13134
11-Mar-98,5.93071,13.54326,46.61769
12-Mar-98,5.8683,13.606,86.70773
13-Mar-98,5.88791,13.57737,-21.83197
16-Mar-98,5.85199,13.61239,50.55285
17-Mar-98,5.88572,13.5743,-44.15088
18-Mar-98,5.90432,13.55212,-23.59423
19-Mar-98,5.90432,13.54944,1.60896
20-Mar-98,5.88462,13.56204,31.56661
23-Mar-98,5.87916,13.56508,9.00818
24-Mar-98,5.87916,13.5624,1.60219
25-Mar-98,5.93512,13.50108,-73.84438
26-Mar-98,5.95393,13.47873,-23.72201
27-Mar-98,5.95505,13.46951,3.35919
30-Mar-98,5.97951,13.44128,-31.23737
31-Mar-98,5.94287,13.47688,51.05841
01-Apr-98,5.90103,13.518,58.25132
02-Apr-98,5.84329,13.57591,80.14134
03-Apr-98,5.77876,13.63576,92.97823
06-Apr-98,5.82168,13.58789,-56.68285
07-Apr-98,5.84004,13.5659,-23.31548
08-Apr-98,5.90105,13.4992,-80.63083
09-Apr-98,5.877,13.51368,38.97488
13-Apr-98,5.93519,13.45004,-76.54742
14-Apr-98,5.90656,13.47733,40.23943
15-Apr-98,5.88137,13.50104,35.63866
16-Apr-98,5.87265,13.50751,13.39341
17-Apr-98,5.87484,13.49716,1.83872
20-Apr-98,5.91758,13.44969,-55.82675
21-Apr-98,5.95295,13.41001,-45.77595
22-Apr-98,5.9585,13.40152,-5.82638
23-Apr-98,5.97186,13.38489,-16.24772
24-Apr-98,5.94301,13.40698,43.6009
27-Apr-98,6.0664,13.27567,-161.65787
28-Apr-98,6.06868,13.27062,-1.38359
29-Apr-98,6.07439,13.26201,-5.91026
30-Apr-98,5.9508,13.38811,167.70373
01-May-98,5.93975,13.39161,19.67177
04-May-98,5.93976,13.38892,1.60471
05-May-98,5.97086,13.35375,-39.88212
06-May-98,5.9431,13.38006,38.80078
07-May-98,5.94643,13.3739,-2.84089
08-May-98,5.97314,13.33795,-30.7591
11-May-98,6.04278,13.26269,-90.57408
12-May-98,5.9587,13.34767,114.15711
13-May-98,5.94539,13.35889,19.40839
14-May-98,5.97654,13.72353,-39.8541
15-May-98,5.9709,13.72137,12.54885
18-May-98,5.91878,13.77197,73.50326
19-May-98,5.93311,13.75468,-18.11797
20-May-98,5.89125,13.79486,59.41183
21-May-98,5.92423,13.75848,-43.74519
22-May-98,5.89772,13.77504,42.91406
26-May-98,5.84856,13.82277,69.65102
27-May-98,5.82686,13.8424,31.63049
28-May-98,5.83224,13.83423,-5.88965
29-May-98,5.80626,13.853,40.73088
01-Jun-98,5.78046,13.87688,37.38784
02-Jun-98,5.79868,13.85551,-23.68015
03-Jun-98,5.79758,13.854,3.07634
04-Jun-98,5.81587,13.83257,-23.72905
05-Jun-98,5.78889,13.85236,42.08702
08-Jun-98,5.78887,13.84975,1.58336
