Date,5 year note Current Mid Yield,5 year note Current Modified Duration,5 year note Current Realized Return,10 year note Current Mid Yield,10 year note Current Modified Duration,10 year note Current Realized Return
1997/9/22,5.97876,4.18735,12.49206,6.05605,7.30237,24.87847
1997/9/23,6.01171,4.18349,-12.15329,6.09204,7.2949,-24.61524
1997/9/24,5.94817,4.27613,18.65659,6.04329,7.29881,37.26645
1997/9/25,6.02898,4.27325,-34.48276,6.12389,7.28534,-56.9834
1997/9/26,5.98486,4.27482,18.87386,6.0813,7.28316,35.99161
1997/9/27,5.98486,4.27482,0,6.0919,7.2791,-6.08352
1997/9/28,5.99956,4.27163,-4.65782,6.11315,7.2736,-13.82237
1997/9/29,5.92247,4.27171,34.60476,6.03459,7.28152,58.96953
1997/9/30,5.90412,4.2697,9.44264,6.00709,7.28257,21.66169
1997/10/1,5.88567,4.26235,12.66423,6.00698,7.27467,4.91095
1997/10/2,5.83803,4.26137,21.91556,5.96057,7.27825,35.42831
1997/10/3,5.81602,4.25948,10.9595,5.93322,7.27928,21.52799
1997/10/4,5.95169,4.252,-55.98623,6.0768,7.25739,-102.22919
1997/10/5,5.97748,4.24841,-9.34057,6.08955,7.25304,-7.61472
1997/10/6,6.02557,4.23604,-13.89482,6.14501,7.23505,-33.57057
1997/10/7,5.95162,4.23599,33.00085,6.06816,7.24272,57.43061
1997/10/8,5.99228,4.23188,-15.5869,6.10009,7.2358,-21.46792
1997/10/9,5.9997,4.22895,-1.51465,6.09154,7.23431,7.82026
1997/10/10,6.07407,4.21832,-26.47598,6.15784,7.21751,-42.89399
1997/10/11,6.06295,4.21605,6.33451,6.13853,7.21746,15.59458
1997/10/12,6.06672,4.21325,0.05175,6.13424,7.2154,4.74171
1997/10/13,6.04442,4.21137,11.03951,6.11924,7.21478,12.4705
1997/10/14,5.94044,4.21237,45.52221,6.02543,7.22471,69.59342
1997/10/15,5.92187,4.20503,12.64112,6.00201,7.21993,21.77059
1997/10/16,5.77773,4.20744,62.40632,5.90489,7.23029,72.02286
1997/10/17,5.88106,4.20113,-41.77747,5.97441,7.21835,-48.51964
1997/10/18,5.79191,4.29095,29.60967,5.90899,7.22446,48.95534
1997/10/19,5.72817,4.29321,27.39297,5.84393,7.23052,48.71685
1997/10/20,5.70615,4.28594,14.12695,5.82492,7.22514,18.43909
1997/10/21,5.77899,4.28067,-29.59202,5.90033,7.21242,-52.72206
1997/10/22,5.83018,4.27617,-20.29908,5.94666,7.20359,-31.76132
1997/10/23,5.83017,4.27349,1.59261,5.93817,7.20209,7.70921
1997/10/24,5.78986,4.27223,18.82266,5.88756,7.20621,38.11961
1997/10/25,5.80077,4.26379,0.07774,5.88951,7.19803,3.3265
1997/10/26,5.81909,4.25778,-4.63848,5.90205,7.19108,-5.8606
1997/10/27,5.79703,4.25587,10.97506,5.88094,7.19126,16.76852
1997/10/28,5.78233,4.2537,7.83813,5.85987,7.19143,16.74045
1997/10/29,5.78224,4.24565,4.7613,5.8555,7.18409,7.84731
1997/10/30,5.77854,4.2431,3.14683,5.84285,7.18314,10.66266
1997/10/31,5.78587,4.24016,-1.53413,5.84069,7.18079,3.11346
1997/11/1,5.76377,4.23825,10.94746,5.81129,7.18207,22.70479
1997/11/2,5.7895,4.23466,-9.32531,5.83428,7.17636,-14.93879
1997/11/3,5.75258,4.2279,20.35728,5.81104,7.17154,21.37773
1997/11/4,5.80049,4.22353,-18.6559,5.85508,7.16303,-29.95645
1997/11/5,5.78826,4.29108,-1.53387,5.84661,7.16152,7.63449
1997/11/6,5.80468,4.2905,-7.0428,5.85703,7.15485,-4.32182
1997/11/7,5.82292,4.28718,-6.24747,5.85688,7.14695,4.81501
1997/11/8,5.8229,4.28451,1.58437,5.85261,7.14487,4.61626
1997/11/9,5.81923,4.28197,3.15102,5.85467,7.14196,0.09817
1997/11/10,5.79726,4.28008,10.98207,5.83145,7.14241,18.16183
1997/11/11,5.77896,4.27806,9.40533,5.83982,7.13866,-4.40973
1997/11/12,5.86319,4.26707,-31.21285,5.8967,7.12316,-35.78361
1997/11/13,5.91105,4.26271,-18.80013,5.95188,7.11317,-37.61753
